Country Name,Country Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Gibraltar,GIB,6.44,6.44,6.44,6.44,6.44,6.44,6.44,6.44,6.44,6.44,6.44,6.44,6.44,6.44,6.44,6.44,6.44,6.44,6.44,6.44,6.44,6.44,6.44,6.44,6.44,6.44,6.44,6.44
Guinea,GIN,4.55,4.55,4.55,4.55,4.55,4.55,4.55,4.55,4.55,4.55,4.55,4.55,4.55,4.55,4.55,4.55,4.55,4.55,4.55,4.55,4.55,4.55,4.55,4.55,4.55,4.55,4.55,4.55
Greece,GRC,7.02,7.53,7.84,8.61,8.86,9.06,9.66,9.58,10.84,11.85,11.25,10.64,9.97,9.41,10.31,9.99,9.01,8.40,7.76,9.62,12.71,17.86,24.44,27.47,26.49,24.90,23.54,21.49
Grenada,GRD,13.91,13.91,13.91,13.91,26.93,26.93,16.89,16.89,15.24,15.24,15.24,15.24,15.24,15.24,15.24,15.24,15.24,15.24,15.24,15.24,15.24,15.24,15.24,24.20,24.50,22.90,22.90,22.90
Greenland,GRL,11.16,11.06,10.95,10.84,10.73,10.63,12.92,10.08,11.56,9.03,11.02,9.53,8.82,10.30,10.44,9.25,8.40,7.87,7.19,6.50,7.80,9.40,9.80,10.10,10.30,9.10,8.83,8.33
Guatemala,GTM,3.73,3.70,3.66,3.63,3.59,3.56,3.52,3.49,3.45,3.42,3.38,3.35,3.31,2.81,2.97,3.01,3.11,3.21,3.30,3.40,3.50,4.13,2.76,3.02,2.72,2.51,2.58,2.46
Guam,GUM,2.83,3.51,3.84,5.53,7.60,7.90,8.28,9.67,7.74,13.95,11.32,13.21,11.39,9.57,7.70,7.00,7.40,8.30,9.20,9.30,8.20,13.30,12.20,11.50,7.60,6.90,5.40,5.40
High income,HIC,7.24,7.17,6.80,7.26,7.10,6.91,6.92,6.56,6.81,6.88,6.55,6.83,6.98,7.35,7.01,6.57,5.89,5.41,5.65,8.01,8.33,8.04,8.04,8.03,7.37,6.73,6.18,5.76
"Hong Kong SAR, China",HKG,1.25,1.80,1.96,1.96,1.90,3.22,2.83,2.22,4.58,6.25,4.92,5.09,7.28,7.86,6.74,5.58,4.77,4.01,3.56,5.26,4.31,3.42,3.29,3.40,3.30,3.32,3.39,3.09
Honduras,HND,4.78,4.58,3.06,3.41,3.50,3.24,4.37,3.32,4.02,3.85,4.02,4.00,4.02,5.30,5.99,4.91,3.57,3.21,3.16,3.29,4.12,4.47,3.75,4.10,5.49,4.59,4.67,4.05
