Country Name,Country Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Ireland,IRL,11.26809543,11.66495255,12.06180967,7.840000153,9.18999958,13.81000042,12.93000031,9.840000153,13.61999989,21.57999992,22.14999962,21.73999977,21.92000008,17.69000053,15.81999969,15.56999969,13.47999954,11.36999989
"Iran, Islamic Rep.",IRN,22.01000023,22.01000023,22.01000023,22.31000713,22.26000598,22.21000483,22.16000368,22.11000253,22.06000138,22.01000023,21.95999908,21.90999793,21.85999678,21.80999563,21.75999448,21.70999333,21.65999218,21.60999103
Iraq,IRQ,21.59350014,21.59350014,21.59350014,21.59350014,21.59350014,21.59350014,21.59350014,21.59350014,21.59350014,21.59350014,21.59350014,21.59350014,16.88269997,16.88269997,16.88269997,16.88269997,16.88269997,16.88269997
Iceland,ISL,4.137785713,4.266607145,4.395428578,2.970000029,4.960000038,4.349999905,3.970000029,3.279999971,3.75,8.800000191,7.510000229,7.590000153,6.96999979,6.769999981,6.150000095,5.869999886,4.550000191,3.900000095
Israel,ISR,30.72333781,30.95333735,31.18333689,31.41333644,31.64333598,31.87333552,32.10333506,32.3333346,32.56333415,33,32.61000061,33.45999908,15.48999977,14.60999966,14.09000015,14.31000042,14.10999966,13.94999981
Italy,ITA,11.64068142,12.29272534,12.94476927,13.59681319,13.85999966,15.31000042,15.35999966,15.14999962,15.18000031,16.98999977,18.92000008,19.39999962,21.05999947,22.79999924,22.68000031,21.82999992,20.04999924,20.22999954
Japan,JPN,3.027432346,2.994324245,2.961216144,2.928108042,2.894999941,2.86189184,2.828783739,2.795675637,2.762567536,2.690000057,2.589999914,2.589999914,2.839999914,2.700000048,2.400000095,2.549999952,2.549999952,2.390000105
Kyrgyz Republic,KGZ,40.18911076,38.62311077,37.05711079,35.4911108,33.92511082,32.35911083,30.79311085,29.22711086,27.66111088,12.23999977,11.55000019,44.77000046,46.16999817,13.17000008,12.52999973,13.64000034,12.09000015,12.31999969
Cambodia,KHM,7.045300007,3.926500082,3.45599997,2.816999978,2.177999985,1.538999993,0.9,0.261000007,79.76000214,3.670000076,0.151600003,1.856100038,10.26299953,10.26299953,10.26299953,10.26299953,10.26299953,10.26299953
Latin America & Caribbean (excluding high income),LAC,9.090711859,9.359480564,9.628249268,9.897017973,10.16578668,11.24382929,10.63514134,10.64906571,10.6097856,11.85090294,11.85090294,12.29368372,11.80814107,12.37659257,12.08565111,13.32479665,13.89266671,13.99201924
Lao PDR,LAO,4.336999893,4.336999893,4.336999893,4.336999893,4.336999893,4.336999893,4.336999893,4.336999893,4.336999893,4.336999893,4.336999893,9.3,14.26300011,19.22600021,24.18900032,29.15200043,34.11500053,39.07149887
Lebanon,LBN,15.97999954,15.97999954,15.97999954,15.97999954,15.97999954,15.97999954,15.97999954,15.97999954,15.97999954,15.97999954,15.97999954,15.97999954,15.97999954,15.97999954,15.97999954,15.97999954,15.97999954,15.97999954
Liberia,LBR,29.246006,28.3214054,27.3968048,26.4722042,25.5476036,24.623003,23.6984024,22.7738018,21.8492012,20.9246006,20,19.0753994,10.78789997,10.78789997,12.04419994,9.59430027,8.919599533,7.061432838
Latin America & Caribbean,LCN,9.594053987,9.838348935,10.08264388,10.32693883,10.57123378,11.56769382,11.07203607,10.67425006,10.94696709,12.32142285,12.32142285,12.45187077,11.97351564,12.62731077,12.358736,13.37565518,13.872762,14.09323634
Sri Lanka,LKA,14.82188564,15.0366285,15.25137136,15.46611422,15.68085708,15.89559995,16.11034281,16.32508567,16.53982853,16.75457139,17.52269936,15.98760033,15.98760033,17.97940063,18.9265995,17.41080093,18.06889915,17.7845993
Lower middle income,LMC,12.81461059,12.49018911,12.16576764,12.16576764,11.84134617,11.5169247,11.5169247,11.19250322,10.86808175,10.86808175,10.54366028,10.2192388,10.2192388,9.961297141,9.745902556,9.530507972,9.315113387,9.099718803
Lithuania,LTU,8.95628554,9.083714124,9.211142708,9.338571292,9.340000153,8.229999542,8.159999847,6.28000021,8.569999695,13.64999962,14.68999958,13.14000034,12.76000023,11.64000034,9.510000229,9.079999924,10,9.069999695
Luxembourg,LUX,4.145071501,4.282964352,4.420857202,4.460000038,4.630000114,4.269999981,6.079999924,4.739999771,4.610000134,6.03000021,5.570000172,4.610000134,6.269999981,5.929999828,7.829999924,6.630000114,5.059999943,6.139999866
Latvia,LVA,9.344190772,9.604905041,9.86561931,8.930000305,8.350000381,8.859999657,7.929999828,9.539999962,10.18000031,18.62000084,18.70000076,16.06999969,15.14000034,12.64000034,11.27999973,9.369999886,12.63000011,11.02999973
"Macao SAR, China",MAC,10.89059545,10.50404782,10.11750019,9.730952552,9.344404919,8.957857285,8.571309652,8.184762018,7.798214384,8.420000076,6.909999847,6.28000021,5.570000172,5.590000153,4.889999866,5.25,5.559999943,4.319285682
Moldova,MDA,33.46381069,33.3492392,33.23466771,33.12009622,33.00552474,32.89095325,32.77638176,32.66181027,32.54723878,32.43266729,32.22000122,31.95999908,32.38000107,31.42000008,33.56000137,30.64999962,31.63066686,31.51609537
Madagascar,MDG,4.567400312,4.477600288,4.387800264,4.29800024,4.208200216,4.118400192,4.028600168,3.938800144,3.84900012,3.759200096,3.669400072,3.579600048,3.489800024,3.4,3.310199976,4.125500202,4.940800428,5.756100654
North Macedonia,MKD,38.91999817,38.91999817,38.91999817,38.91999817,38.91999817,38.91999817,38.91999817,31.59000015,28.05999947,25.38999939,25.12000084,24.89999962,25.32999992,23.26000023,23.62999916,24.53000069,23.57999992,23.87999916
Mali,MLI,11.03629383,10.9611943,10.88609478,10.81099525,10.73589573,10.6607962,10.58569668,10.51059715,10.43549763,10.3603981,10.28529858,10.21019905,10.13509953,10.06,9.984900475,14.89579964,21.88139915,21.88139915
Malta,MLT,11.04046174,10.88470349,10.72894523,10.57318698,10.51000023,11.15999985,9.760000229,11.88000011,6.820000172,9.390000343,8.220000267,9.710000038,9.979999542,9.819999695,9.020000458,9.630000114,6.78000021,8.989999771
Montenegro,MNE,17.11161911,17.25619053,17.40076194,17.54533335,17.68990477,17.83447618,17.97904759,18.12361901,18.26819042,18.41276183,18.55733325,18.39999962,18.44000053,19.98999977,18.87999916,19.93000031,18.73999977,16.34000015
Mongolia,MNG,9.43228909,10.47339055,11.51449201,12.55559347,13.59669493,14.63779639,15.67889785,16.71999931,17.76110077,16.70969963,16.02840042,15.0302,15.84899998,15.20820045,15.7826004,13.95040035,18.68420029,17.73250008
Mauritius,MUS,21.67950058,21.67950058,19.4564991,14.09729958,16.9239006,16.55540085,13.1868,13.67280006,13.11800003,14.69859982,15.19209957,15.44410038,16.18709946,15.04160023,15.42469978,15.6850996,15.09070015,14.83940029
Malawi,MWI,6.6,6.7,6.8,6.9,7,7.1,7.2,7.785799885,8.37159977,8.957399654,9.543199539,11.1942997,8.175299644,8.175299644,8.175299644,8.175299644,8.175299644,23.59320068
Malaysia,MYS,2.78,3.27,3.22,3.36,3.3,3.3,3.12,3.1,3.14,3.6,3.12,2.95,2.94,2.92,2.66,2.91,3.12,3.1
North America,NAC,12.8579184,13.81246149,14.66324943,15.18810766,14.54506213,14.62919473,13.43656132,13.40454044,15.20309884,18.80527673,19.10940161,17.59311643,17.46921823,17.01243972,15.56625931,14.67878022,14.2779619,13.01706372
